Num_Acc;jour;mois;an;hrmn;lum;dep;com;agg;int;atm;col;adr;lat;long
202000000011;5;3;2020;11:50;1;59;59143;2;3;1;-1;BEAUCHAMP  (RUE LEON );50,6785000;2,8742000
202000000014;7;3;2020;13:20;1;51;51454;2;7;1;2;Avenue de lâEurope;49,2556464;4,0611947
202000000031;4;3;2020;20:00;3;75;75117;2;3;2;3;BOULEVARD DE REIMS;48,8891650;2,2975300
202000000032;6;3;2020;20:40;5;75;75114;2;1;1;3;BOULEVARD ARAGO;48,8344810;2,3342120
202000000035;6;3;2020;21:00;5;75;75104;2;7;1;3;QUAI DE GESVRES;48,8571810;2,3473270
202000000059;7;3;2020;11:05;1;38;38012;2;1;1;1;Route de Saint Genix;45,5979430;5,6308460
202000000067;7;3;2020;12:30;1;64;64108;2;6;1;3;RD 430;43,5197970; -0,9154590
202000000075;7;3;2020;15:50;1;37;37159;2;1;1;3;2 Rue Bernard Tortevoie;47,2777185;0,6221262
202000000076;6;3;2020;09:50;1;30;30075;2;1;1;-1;Chemin des RÃ´les;43,8208860;4,2607860
202000000109;6;3;2020;18:05;2;972;97209;2;3;1;1;PATRICE LUMUMBA (RUE);14,6136800; -61,0701800
202000000122;5;3;2020;20:15;5;89;89387;2;2;3;3;GARIBALDI (BOULEVARD DES);48,1999800;3,2823200
202000000126;3;3;2020;18:10;2;84;84007;2;1;1;3;RUE HOSEPH DE MONTGOLFIER;43,9301800;4,8285400
202000000152;21;9;2020;19:00;5;971;97128;2;1;1;6;Douville;16,2527980; -61,3722650
202000000164;21;9;2020;14:20;1;73;73248;2;6;1;3;D77 RP de l'aluminium;45,2756154;6,3554903
202000000180;18;9;2020;20:15;5;988;98818;2;3;1;5;RUE JULES GARNIER/RUE DU DOCTEUR MIALARET; -22,2878800;166,4445500
202000000189;20;9;2020;11:50;1;64;64483;2;1;1;5;CHANTACO (AVENUE DE );43,3737000; -1,6378600
202000000197;20;9;2020;09:45;1;13;13002;2;1;8;1;QUATRE SAISONS (ROUTE DES);43,3239140;5,4921450
202000000213;20;9;2020;01:30;5;75;75113;2;2;1;3;RUE DES PEUPLIERS;48,8221500;2,3526890
202000000214;20;9;2020;18:50;1;75;75112;2;7;1;-1;ROUTE DE LA PYRAMIDE;48,8338330;2,4448970
202000000216;20;9;2020;15:00;1;75;75104;2;3;1;6;RUE DE RIVOLI;48,8554880;2,3600990
202000000218;20;9;2020;18:15;1;94;94034;2;1;1;3;PASTEUR (BD);48,7568840;2,3153510
202000000220;20;9;2020;18:20;1;94;94071;2;6;1;1;Avenue Gabriel PÃ©ri & Route de la Queue-En-Brie;48,7615579;2,5334328
202000000225;20;9;2020;17:00;1;92;92040;2;6;1;3;STALINGRAD (QUAI DE);48,8201781;2,2429183
202000000237;19;9;2020;15:00;1;62;62773;2;3;1;-1;Rue de Neufchatel;50,6388160;1,7431366
202000000242;20;9;2020;13:00;1;65;65362;2;1;1;7;1 Route de CauterÃªts;42,9583500; -0,0776660
202000000243;21;9;2020;13:45;1;33;33236;2;1;2;3;98 Avenue du Truc Vert;44,7248500; -1,2193100
202000000264;21;9;2020;07:45;1;21;21534;1;1;7;2;Route de Chorey;47,0408670;4,9109060
202000000265;17;9;2020;16:30;1;40;40245;2;1;1;6;Rue PÃ©necadet;44,0321680; -0,3243670
202000000283;18;9;2020;09:50;1;39;39097;2;1;1;2;317 Avenue du MarÃ©chal de Lattre de Tassigny;46,7479550;5,9186540
202000000290;21;9;2020;17:35;1;85;85178;1;3;1;1;La BardiniÃ¨re;46,7778220; -1,4878980
202000000303;24;6;2020;07:30;1;33;33318;2;3;1;3;Avenue du Bourgailh;44,8024600; -0,6631900
202000000322;24;6;2020;00:45;5;75;75118;2;3;1;-1;RUE DE LA CHAPELLE;48,8920140;2,3598400
202000000334;24;6;2020;09:37;1;75;75106;2;3;7;7;QUAI VOLTAIRE;48,8585260;2,3324650
202000000351;25;6;2020;08:45;1;12;12265;1;2;1;1;VerriÃ¨res;44,5425720;2,6852130
202000000357;24;6;2020;19:45;1;56;56057;1;1;1;7;Le Drezers;48,0647670; -3,4807450
202000000365;24;6;2020;20:15;1;31;31118;1;6;1;3;Route de Bouloc;43,7933670;1,3724660
202000000370;25;6;2020;20:25;1;05;05054;2;1;1;-1;Route des Allards;44,6754130;6,0703430
202000000379;22;6;2020;20:05;1;77;77490;2;3;1;1;Rue de la Forge Chaton;49,0335810;3,1041850
202000000381;25;6;2020;10:20;1;66;66144;1;6;1;2;Route de Villeneuve de la Raho;42,6424160;2,8791100
202000000422;17;6;2020;07:38;1;84;84087;2;1;1;-1;ROCH (RUE MADELEINE);44,1359400;4,8077200
202000000428;23;6;2020;16:30;1;74;74010;2;1;7;2;MARQUISATS (AVENUE DES);45,8957110;6,1329833
202000000431;23;6;2020;18:18;1;68;68224;2;3;1;2;HOFER (RUE JOSUE);47,7615579;7,3252817
202000000443;17;6;2020;14:15;1;62;62048;2;2;1;3;SOISSONS (DE);50,5077300;2,4808200
